class,raw_relative_path,error_type,error
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_391.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_391.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_392.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_392.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_393.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_393.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_394.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_394.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_395.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_395.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_396.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_396.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_397.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_397.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_398.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_398.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_399.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_399.jpg'
healthy,raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_400.jpg,UnidentifiedImageError,cannot identify image file 'raw/extracted/uganda/A Machine  Learning Dataset for Classification of Common Coffee Leaf Diseases in Uganda/coffee dataset/Health leaves/1_400.jpg'
